state,value
Alabama,326.0
Alaska,0.0
Arizona,417.0
Arkansas,166.0
California,1995.0
Colorado,137.0
Connecticut,193.0
Delaware,51.0
District of Columbia,28.0
Florida,1494.0
Georgia,626.0
Hawaii,0.0
Idaho,29.0
Illinois,448.0
Indiana,213.0
Iowa,105.0
Kansas,86.0
Kentucky,291.0
Louisiana,279.0
Maine,0.0
Maryland,361.0
Massachusetts,309.0
Michigan,390.0
Minnesota,127.0
Mississippi,190.0
Missouri,256.0
Montana,42.0
Nebraska,47.0
Nevada,177.0
New Hampshire,25.0
New Jersey,833.0
New Mexico,120.0
New York,898.0
North Carolina,510.0
North Dakota,0.0
Ohio,570.0
Oklahoma,232.0
Oregon,88.0
Pennsylvania,733.0
Rhode Island,48.0
South Carolina,402.0
South Dakota,0.0
Tennessee,459.0
Texas,2321.0
Utah,85.0
Vermont,0.0
Virginia,482.0
Washington,150.0
West Virginia,85.0
Wisconsin,114.0
Wyoming,0.0
