state,value
Alabama,285.0
Alaska,0.0
Arizona,329.0
Arkansas,46.0
California,1682.0
Colorado,734.0
Connecticut,2029.0
Delaware,125.0
District of Columbia,211.0
Florida,1089.0
Georgia,904.0
Hawaii,0.0
Idaho,45.0
Illinois,1978.0
Indiana,918.0
Iowa,122.0
Kansas,111.0
Kentucky,220.0
Louisiana,1503.0
Maine,40.0
Maryland,923.0
Massachusetts,3096.0
Michigan,3257.0
Minnesota,283.0
Mississippi,240.0
Missouri,372.0
Montana,0.0
Nebraska,56.0
Nevada,193.0
New Hampshire,57.0
New Jersey,7854.0
New Mexico,93.0
New York,6486.0
North Carolina,335.0
North Dakota,10.0
Ohio,811.0
Oklahoma,170.0
Oregon,101.0
Pennsylvania,2694.0
Rhode Island,232.0
South Carolina,191.0
South Dakota,0.0
Tennessee,180.0
Texas,775.0
Utah,14.0
Vermont,33.0
Virginia,581.0
Washington,504.0
West Virginia,13.0
Wisconsin,257.0
Wyoming,0.0
