state,value
Alabama,1386.0
Alaska,89.0
Arizona,2303.0
Arkansas,910.0
California,9574.0
Colorado,1373.0
Connecticut,867.0
Delaware,211.0
District of Columbia,100.0
Florida,2371.0
Georgia,1378.0
Hawaii,13.0
Idaho,373.0
Illinois,3471.0
Indiana,2437.0
Iowa,1138.0
Kansas,1144.0
Kentucky,1328.0
Louisiana,817.0
Maine,156.0
Maryland,1155.0
Massachusetts,1021.0
Michigan,2746.0
Minnesota,1466.0
Mississippi,863.0
Missouri,1989.0
Montana,315.0
Nebraska,534.0
Nevada,1015.0
New Hampshire,213.0
New Jersey,1871.0
New Mexico,927.0
New York,2409.0
North Carolina,1863.0
North Dakota,334.0
Ohio,5014.0
Oklahoma,1600.0
Oregon,456.0
Pennsylvania,5164.0
Rhode Island,385.0
South Carolina,866.0
South Dakota,400.0
Tennessee,2191.0
Texas,6133.0
Utah,437.0
Vermont,53.0
Virginia,1183.0
Washington,771.0
West Virginia,615.0
Wisconsin,1435.0
Wyoming,150.0
