state,value
Alabama,654.0
Alaska,0.0
Arizona,1797.0
Arkansas,198.0
California,3049.0
Colorado,102.0
Connecticut,59.0
Delaware,0.0
District of Columbia,23.0
Florida,3444.0
Georgia,946.0
Hawaii,0.0
Idaho,81.0
Illinois,387.0
Indiana,255.0
Iowa,118.0
Kansas,76.0
Kentucky,135.0
Louisiana,539.0
Maine,0.0
Maryland,247.0
Massachusetts,147.0
Michigan,116.0
Minnesota,119.0
Mississippi,464.0
Missouri,194.0
Montana,11.0
Nebraska,32.0
Nevada,275.0
New Hampshire,12.0
New Jersey,228.0
New Mexico,131.0
New York,177.0
North Carolina,531.0
North Dakota,0.0
Ohio,487.0
Oklahoma,151.0
Oregon,82.0
Pennsylvania,391.0
Rhode Island,15.0
South Carolina,757.0
South Dakota,27.0
Tennessee,427.0
Texas,5438.0
Utah,113.0
Vermont,0.0
Virginia,280.0
Washington,209.0
West Virginia,0.0
Wisconsin,105.0
Wyoming,0.0
