state,value
Alabama,506.0
Alaska,0.0
Arizona,235.0
Arkansas,314.0
California,1878.0
Colorado,81.0
Connecticut,11.0
Delaware,0.0
District of Columbia,0.0
Florida,1787.0
Georgia,887.0
Hawaii,112.0
Idaho,90.0
Illinois,422.0
Indiana,320.0
Iowa,203.0
Kansas,183.0
Kentucky,256.0
Louisiana,367.0
Maine,0.0
Maryland,157.0
Massachusetts,63.0
Michigan,175.0
Minnesota,170.0
Mississippi,375.0
Missouri,529.0
Montana,71.0
Nebraska,101.0
Nevada,204.0
New Hampshire,0.0
New Jersey,110.0
New Mexico,32.0
New York,73.0
North Carolina,767.0
North Dakota,81.0
Ohio,533.0
Oklahoma,269.0
Oregon,69.0
Pennsylvania,298.0
Rhode Island,12.0
South Carolina,509.0
South Dakota,86.0
Tennessee,611.0
Texas,2118.0
Utah,43.0
Vermont,0.0
Virginia,401.0
Washington,139.0
West Virginia,90.0
Wisconsin,143.0
Wyoming,0.0
