state,value
Alabama,647.0
Alaska,44.0
Arizona,683.0
Arkansas,672.0
California,2093.0
Colorado,881.0
Connecticut,402.0
Delaware,74.0
District of Columbia,28.0
Florida,1441.0
Georgia,854.0
Hawaii,0.0
Idaho,304.0
Illinois,2754.0
Indiana,1692.0
Iowa,1279.0
Kansas,762.0
Kentucky,847.0
Louisiana,399.0
Maine,51.0
Maryland,515.0
Massachusetts,383.0
Michigan,1722.0
Minnesota,1197.0
Mississippi,458.0
Missouri,1741.0
Montana,339.0
Nebraska,667.0
Nevada,443.0
New Hampshire,37.0
New Jersey,724.0
New Mexico,685.0
New York,737.0
North Carolina,1072.0
North Dakota,468.0
Ohio,2442.0
Oklahoma,981.0
Oregon,256.0
Pennsylvania,2055.0
Rhode Island,154.0
South Carolina,446.0
South Dakota,619.0
Tennessee,1309.0
Texas,4506.0
Utah,339.0
Vermont,0.0
Virginia,623.0
Washington,373.0
West Virginia,258.0
Wisconsin,1736.0
Wyoming,141.0
