state,value
Alabama,1028.0
Alaska,57.0
Arizona,2106.0
Arkansas,703.0
California,5988.0
Colorado,978.0
Connecticut,951.0
Delaware,324.0
District of Columbia,156.0
Florida,3873.0
Georgia,2206.0
Hawaii,119.0
Idaho,245.0
Illinois,3839.0
Indiana,2327.0
Iowa,670.0
Kansas,916.0
Kentucky,1344.0
Louisiana,758.0
Maine,279.0
Maryland,1645.0
Massachusetts,1463.0
Michigan,2787.0
Minnesota,936.0
Mississippi,818.0
Missouri,1961.0
Montana,147.0
Nebraska,338.0
Nevada,885.0
New Hampshire,243.0
New Jersey,2736.0
New Mexico,698.0
New York,2797.0
North Carolina,2255.0
North Dakota,132.0
Ohio,4968.0
Oklahoma,1284.0
Oregon,513.0
Pennsylvania,4320.0
Rhode Island,290.0
South Carolina,1241.0
South Dakota,187.0
Tennessee,1945.0
Texas,5766.0
Utah,367.0
Vermont,62.0
Virginia,1944.0
Washington,983.0
West Virginia,594.0
Wisconsin,1428.0
Wyoming,61.0
