state,value
Alabama,240.0
Alaska,31.0
Arizona,1857.0
Arkansas,301.0
California,1861.0
Colorado,963.0
Connecticut,303.0
Delaware,115.0
District of Columbia,23.0
Florida,557.0
Georgia,430.0
Hawaii,0.0
Idaho,183.0
Illinois,1520.0
Indiana,1476.0
Iowa,471.0
Kansas,435.0
Kentucky,695.0
Louisiana,129.0
Maine,274.0
Maryland,497.0
Massachusetts,593.0
Michigan,2955.0
Minnesota,922.0
Mississippi,139.0
Missouri,874.0
Montana,130.0
Nebraska,286.0
Nevada,411.0
New Hampshire,220.0
New Jersey,564.0
New Mexico,645.0
New York,1463.0
North Carolina,760.0
North Dakota,146.0
Ohio,3236.0
Oklahoma,456.0
Oregon,254.0
Pennsylvania,2932.0
Rhode Island,126.0
South Carolina,333.0
South Dakota,143.0
Tennessee,703.0
Texas,1745.0
Utah,269.0
Vermont,40.0
Virginia,689.0
Washington,402.0
West Virginia,340.0
Wisconsin,1088.0
Wyoming,77.0
