state,value
Alabama,317.0
Alaska,12.0
Arizona,357.0
Arkansas,159.0
California,1150.0
Colorado,144.0
Connecticut,55.0
Delaware,0.0
District of Columbia,0.0
Florida,827.0
Georgia,398.0
Hawaii,0.0
Idaho,43.0
Illinois,306.0
Indiana,271.0
Iowa,102.0
Kansas,121.0
Kentucky,389.0
Louisiana,198.0
Maine,46.0
Maryland,133.0
Massachusetts,95.0
Michigan,303.0
Minnesota,113.0
Mississippi,154.0
Missouri,284.0
Montana,43.0
Nebraska,48.0
Nevada,179.0
New Hampshire,26.0
New Jersey,155.0
New Mexico,119.0
New York,289.0
North Carolina,445.0
North Dakota,12.0
Ohio,476.0
Oklahoma,228.0
Oregon,165.0
Pennsylvania,428.0
Rhode Island,0.0
South Carolina,221.0
South Dakota,15.0
Tennessee,489.0
Texas,1077.0
Utah,71.0
Vermont,0.0
Virginia,308.0
Washington,166.0
West Virginia,183.0
Wisconsin,138.0
Wyoming,11.0
