state,value
Alabama,134.0
Alaska,0.0
Arizona,410.0
Arkansas,93.0
California,1322.0
Colorado,160.0
Connecticut,156.0
Delaware,10.0
District of Columbia,0.0
Florida,535.0
Georgia,235.0
Hawaii,0.0
Idaho,10.0
Illinois,354.0
Indiana,310.0
Iowa,151.0
Kansas,127.0
Kentucky,206.0
Louisiana,71.0
Maine,35.0
Maryland,189.0
Massachusetts,239.0
Michigan,311.0
Minnesota,154.0
Mississippi,67.0
Missouri,253.0
Montana,0.0
Nebraska,81.0
Nevada,132.0
New Hampshire,16.0
New Jersey,283.0
New Mexico,114.0
New York,447.0
North Carolina,283.0
North Dakota,0.0
Ohio,474.0
Oklahoma,143.0
Oregon,117.0
Pennsylvania,450.0
Rhode Island,10.0
South Carolina,173.0
South Dakota,0.0
Tennessee,246.0
Texas,646.0
Utah,77.0
Vermont,0.0
Virginia,217.0
Washington,214.0
West Virginia,78.0
Wisconsin,184.0
Wyoming,0.0
