state,value
Alabama,185.0
Alaska,0.0
Arizona,106.0
Arkansas,120.0
California,886.0
Colorado,65.0
Connecticut,76.0
Delaware,0.0
District of Columbia,0.0
Florida,883.0
Georgia,333.0
Hawaii,0.0
Idaho,45.0
Illinois,265.0
Indiana,199.0
Iowa,93.0
Kansas,83.0
Kentucky,204.0
Louisiana,141.0
Maine,12.0
Maryland,122.0
Massachusetts,129.0
Michigan,199.0
Minnesota,95.0
Mississippi,120.0
Missouri,200.0
Montana,0.0
Nebraska,22.0
Nevada,65.0
New Hampshire,0.0
New Jersey,160.0
New Mexico,30.0
New York,243.0
North Carolina,289.0
North Dakota,10.0
Ohio,383.0
Oklahoma,142.0
Oregon,95.0
Pennsylvania,316.0
Rhode Island,0.0
South Carolina,180.0
South Dakota,0.0
Tennessee,297.0
Texas,763.0
Utah,23.0
Vermont,0.0
Virginia,218.0
Washington,157.0
West Virginia,84.0
Wisconsin,112.0
Wyoming,0.0
