state,value
Alabama,1169.0
Alaska,67.0
Arizona,1232.0
Arkansas,713.0
California,4578.0
Colorado,520.0
Connecticut,336.0
Delaware,127.0
District of Columbia,31.0
Florida,2989.0
Georgia,1533.0
Hawaii,100.0
Idaho,251.0
Illinois,1271.0
Indiana,1057.0
Iowa,362.0
Kansas,484.0
Kentucky,1119.0
Louisiana,692.0
Maine,150.0
Maryland,477.0
Massachusetts,565.0
Michigan,1099.0
Minnesota,396.0
Mississippi,690.0
Missouri,1075.0
Montana,150.0
Nebraska,212.0
Nevada,624.0
New Hampshire,106.0
New Jersey,761.0
New Mexico,341.0
New York,1157.0
North Carolina,1735.0
North Dakota,105.0
Ohio,1851.0
Oklahoma,969.0
Oregon,494.0
Pennsylvania,1656.0
Rhode Island,97.0
South Carolina,1033.0
South Dakota,110.0
Tennessee,1664.0
Texas,4468.0
Utah,250.0
Vermont,22.0
Virginia,1081.0
Washington,644.0
West Virginia,474.0
Wisconsin,496.0
Wyoming,73.0
