state,value
Alabama,569.0
Alaska,0.0
Arizona,244.0
Arkansas,606.0
California,1464.0
Colorado,239.0
Connecticut,143.0
Delaware,78.0
District of Columbia,12.0
Florida,1403.0
Georgia,790.0
Hawaii,77.0
Idaho,176.0
Illinois,976.0
Indiana,875.0
Iowa,513.0
Kansas,430.0
Kentucky,473.0
Louisiana,336.0
Maine,0.0
Maryland,224.0
Massachusetts,179.0
Michigan,557.0
Minnesota,467.0
Mississippi,363.0
Missouri,1147.0
Montana,263.0
Nebraska,263.0
Nevada,182.0
New Hampshire,11.0
New Jersey,251.0
New Mexico,170.0
New York,262.0
North Carolina,999.0
North Dakota,310.0
Ohio,929.0
Oklahoma,552.0
Oregon,115.0
Pennsylvania,687.0
Rhode Island,79.0
South Carolina,518.0
South Dakota,261.0
Tennessee,950.0
Texas,2811.0
Utah,178.0
Vermont,0.0
Virginia,488.0
Washington,224.0
West Virginia,136.0
Wisconsin,884.0
Wyoming,52.0
