state,value
Alabama,1077.0
Alaska,0.0
Arizona,1141.0
Arkansas,406.0
California,4124.0
Colorado,125.0
Connecticut,0.0
Delaware,0.0
District of Columbia,10.0
Florida,5264.0
Georgia,1924.0
Hawaii,45.0
Idaho,194.0
Illinois,456.0
Indiana,389.0
Iowa,268.0
Kansas,187.0
Kentucky,282.0
Louisiana,970.0
Maine,0.0
Maryland,265.0
Massachusetts,99.0
Michigan,237.0
Minnesota,189.0
Mississippi,878.0
Missouri,456.0
Montana,39.0
Nebraska,90.0
Nevada,503.0
New Hampshire,0.0
New Jersey,159.0
New Mexico,120.0
New York,127.0
North Carolina,929.0
North Dakota,14.0
Ohio,821.0
Oklahoma,334.0
Oregon,132.0
Pennsylvania,499.0
Rhode Island,13.0
South Carolina,1095.0
South Dakota,32.0
Tennessee,774.0
Texas,6107.0
Utah,97.0
Vermont,0.0
Virginia,492.0
Washington,303.0
West Virginia,99.0
Wisconsin,189.0
Wyoming,0.0
