state,value
Alabama,1034.0
Alaska,236.0
Arizona,1203.0
Arkansas,476.0
California,3031.0
Colorado,815.0
Connecticut,157.0
Delaware,126.0
District of Columbia,13.0
Florida,3100.0
Georgia,1873.0
Hawaii,108.0
Idaho,706.0
Illinois,949.0
Indiana,1130.0
Iowa,471.0
Kansas,355.0
Kentucky,1330.0
Louisiana,490.0
Maine,157.0
Maryland,483.0
Massachusetts,349.0
Michigan,1366.0
Minnesota,578.0
Mississippi,423.0
Missouri,750.0
Montana,453.0
Nebraska,249.0
Nevada,595.0
New Hampshire,102.0
New Jersey,552.0
New Mexico,346.0
New York,1027.0
North Carolina,1832.0
North Dakota,207.0
Ohio,2800.0
Oklahoma,759.0
Oregon,643.0
Pennsylvania,2254.0
Rhode Island,35.0
South Carolina,1220.0
South Dakota,128.0
Tennessee,1833.0
Texas,5253.0
Utah,398.0
Vermont,13.0
Virginia,1173.0
Washington,905.0
West Virginia,689.0
Wisconsin,751.0
Wyoming,213.0
