state,value
Alabama,337.0
Alaska,0.0
Arizona,713.0
Arkansas,125.0
California,1714.0
Colorado,142.0
Connecticut,241.0
Delaware,41.0
District of Columbia,109.0
Florida,796.0
Georgia,405.0
Hawaii,0.0
Idaho,0.0
Illinois,1059.0
Indiana,410.0
Iowa,148.0
Kansas,50.0
Kentucky,136.0
Louisiana,314.0
Maine,0.0
Maryland,601.0
Massachusetts,555.0
Michigan,259.0
Minnesota,306.0
Mississippi,272.0
Missouri,167.0
Montana,0.0
Nebraska,80.0
Nevada,71.0
New Hampshire,93.0
New Jersey,678.0
New Mexico,119.0
New York,540.0
North Carolina,389.0
North Dakota,0.0
Ohio,463.0
Oklahoma,53.0
Oregon,37.0
Pennsylvania,697.0
Rhode Island,114.0
South Carolina,230.0
South Dakota,33.0
Tennessee,188.0
Texas,1075.0
Utah,53.0
Vermont,0.0
Virginia,339.0
Washington,122.0
West Virginia,0.0
Wisconsin,150.0
Wyoming,0.0
