state,value
Alabama,211.0
Alaska,12.0
Arizona,234.0
Arkansas,84.0
California,616.0
Colorado,300.0
Connecticut,134.0
Delaware,11.0
District of Columbia,20.0
Florida,1374.0
Georgia,397.0
Hawaii,0.0
Idaho,65.0
Illinois,805.0
Indiana,331.0
Iowa,86.0
Kansas,81.0
Kentucky,185.0
Louisiana,181.0
Maine,56.0
Maryland,362.0
Massachusetts,225.0
Michigan,1478.0
Minnesota,246.0
Mississippi,135.0
Missouri,199.0
Montana,0.0
Nebraska,41.0
Nevada,135.0
New Hampshire,10.0
New Jersey,602.0
New Mexico,78.0
New York,539.0
North Carolina,521.0
North Dakota,10.0
Ohio,539.0
Oklahoma,94.0
Oregon,201.0
Pennsylvania,957.0
Rhode Island,17.0
South Carolina,232.0
South Dakota,10.0
Tennessee,461.0
Texas,1234.0
Utah,64.0
Vermont,0.0
Virginia,371.0
Washington,262.0
West Virginia,135.0
Wisconsin,156.0
Wyoming,0.0
