state,value
Alabama,2587.0
Alaska,22.0
Arizona,4258.0
Arkansas,1221.0
California,21711.0
Colorado,754.0
Connecticut,1115.0
Delaware,333.0
District of Columbia,159.0
Florida,5028.0
Georgia,4026.0
Hawaii,24.0
Idaho,267.0
Illinois,2608.0
Indiana,2243.0
Iowa,695.0
Kansas,972.0
Kentucky,1385.0
Louisiana,1373.0
Maine,261.0
Maryland,1453.0
Massachusetts,1762.0
Michigan,1846.0
Minnesota,795.0
Mississippi,1311.0
Missouri,1832.0
Montana,188.0
Nebraska,344.0
Nevada,1283.0
New Hampshire,314.0
New Jersey,2627.0
New Mexico,761.0
New York,4447.0
North Carolina,3757.0
North Dakota,108.0
Ohio,4433.0
Oklahoma,2027.0
Oregon,447.0
Pennsylvania,5239.0
Rhode Island,398.0
South Carolina,2154.0
South Dakota,185.0
Tennessee,3009.0
Texas,11130.0
Utah,434.0
Vermont,10.0
Virginia,2371.0
Washington,776.0
West Virginia,762.0
Wisconsin,1014.0
Wyoming,103.0
