state,value
Alabama,1401.0
Alaska,86.0
Arizona,640.0
Arkansas,804.0
California,2752.0
Colorado,245.0
Connecticut,94.0
Delaware,33.0
District of Columbia,23.0
Florida,8588.0
Georgia,2190.0
Hawaii,122.0
Idaho,180.0
Illinois,594.0
Indiana,511.0
Iowa,140.0
Kansas,344.0
Kentucky,670.0
Louisiana,1513.0
Maine,18.0
Maryland,154.0
Massachusetts,122.0
Michigan,302.0
Minnesota,118.0
Mississippi,1005.0
Missouri,1212.0
Montana,125.0
Nebraska,107.0
Nevada,632.0
New Hampshire,25.0
New Jersey,272.0
New Mexico,200.0
New York,345.0
North Carolina,1309.0
North Dakota,0.0
Ohio,618.0
Oklahoma,832.0
Oregon,458.0
Pennsylvania,428.0
Rhode Island,10.0
South Carolina,906.0
South Dakota,21.0
Tennessee,1313.0
Texas,6007.0
Utah,206.0
Vermont,0.0
Virginia,444.0
Washington,496.0
West Virginia,156.0
Wisconsin,232.0
Wyoming,68.0
