state,value
Alabama,1856.0
Alaska,151.0
Arizona,1036.0
Arkansas,699.0
California,3841.0
Colorado,414.0
Connecticut,160.0
Delaware,111.0
District of Columbia,22.0
Florida,8110.0
Georgia,3494.0
Hawaii,228.0
Idaho,504.0
Illinois,981.0
Indiana,1108.0
Iowa,312.0
Kansas,414.0
Kentucky,1534.0
Louisiana,1202.0
Maine,115.0
Maryland,396.0
Massachusetts,279.0
Michigan,674.0
Minnesota,288.0
Mississippi,984.0
Missouri,959.0
Montana,238.0
Nebraska,156.0
Nevada,662.0
New Hampshire,53.0
New Jersey,475.0
New Mexico,298.0
New York,692.0
North Carolina,2395.0
North Dakota,59.0
Ohio,1857.0
Oklahoma,1106.0
Oregon,842.0
Pennsylvania,1093.0
Rhode Island,47.0
South Carolina,1799.0
South Dakota,97.0
Tennessee,2748.0
Texas,8190.0
Utah,300.0
Vermont,12.0
Virginia,1045.0
Washington,1055.0
West Virginia,538.0
Wisconsin,510.0
Wyoming,133.0
