state,value
Alabama,144.0
Alaska,0.0
Arizona,102.0
Arkansas,86.0
California,589.0
Colorado,74.0
Connecticut,76.0
Delaware,0.0
District of Columbia,0.0
Florida,592.0
Georgia,230.0
Hawaii,10.0
Idaho,0.0
Illinois,214.0
Indiana,177.0
Iowa,78.0
Kansas,60.0
Kentucky,180.0
Louisiana,106.0
Maine,21.0
Maryland,116.0
Massachusetts,97.0
Michigan,254.0
Minnesota,106.0
Mississippi,101.0
Missouri,148.0
Montana,0.0
Nebraska,10.0
Nevada,11.0
New Hampshire,0.0
New Jersey,139.0
New Mexico,35.0
New York,224.0
North Carolina,241.0
North Dakota,0.0
Ohio,340.0
Oklahoma,120.0
Oregon,49.0
Pennsylvania,323.0
Rhode Island,0.0
South Carolina,115.0
South Dakota,10.0
Tennessee,242.0
Texas,502.0
Utah,20.0
Vermont,0.0
Virginia,195.0
Washington,127.0
West Virginia,88.0
Wisconsin,102.0
Wyoming,0.0
